Target_genes	Isl1|Average	SRX5360103|E8.25-E9_embryos	SRX2408870|Embryonic_gonad	SRX2408872|Embryonic_gonad	SRX1973054|Islets_of_Langerhans	SRX146883|mESCs,_differentiated	SRX1706950|mESCs,_differentiated	SRX1706951|mESCs,_differentiated	SRX1706956|mESCs,_differentiated	SRX1706957|mESCs,_differentiated	SRX1706963|mESCs,_differentiated	SRX1706964|mESCs,_differentiated	SRX1706972|mESCs,_differentiated	SRX1706973|mESCs,_differentiated	SRX1668835|mESC_derived_cardiac_cells	SRX5360257|mESC_derived_cardiac_cells	SRX5360258|mESC_derived_cardiac_cells	SRX092471|mESC_derived_neural_cells	SRX146882|mESC_derived_neural_cells	SRX1659036|mESC_derived_neural_cells	SRX1659037|mESC_derived_neural_cells	SRX1659038|mESC_derived_neural_cells	SRX1659039|mESC_derived_neural_cells	SRX1030299|Sinoatrial_Node	SRX2480228|Sympathetic_neurons	STRING
Creb3l1	205.166667	0	0	0	0	0	482	155	335	540	233	818	988	651	0	0	164	558	0	0	0	0	0	0	0	0
Sema5b	204.958333	0	0	0	0	0	164	0	355	444	300	357	1068	967	0	75	201	988	0	0	0	0	0	0	0	0
Mfap3l	204.958333	0	451	381	0	0	431	0	261	535	0	335	361	226	1650	0	173	115	0	0	0	0	0	0	0	0
Tbc1d9	204.916667	0	0	0	0	0	660	202	536	1010	138	729	829	403	0	74	134	203	0	0	0	0	0	0	0	0
Grm4	204.916667	0	0	0	0	607	308	0	389	537	379	379	836	458	0	0	111	288	141	284	0	201	0	0	0	0
Gm38396	204.708333	0	0	0	0	248	691	226	545	1015	200	534	606	451	0	0	0	397	0	0	0	0	0	0	0	0
Hdgf	204.375	0	1063	1092	129	115	130	0	136	195	0	0	196	0	1716	0	133	0	0	0	0	0	0	0	0	0
Rce1	204.291667	0	0	0	0	99	601	201	618	835	0	621	830	533	0	0	160	405	0	0	0	0	0	0	0	0
Mbp	204.0	0	0	0	0	0	569	0	559	838	0	478	646	462	0	0	127	272	818	127	0	0	0	0	0	0
Pop4	203.625	94	0	0	0	0	732	171	716	883	0	748	713	537	0	0	198	95	0	0	0	0	0	0	0	0
Col6a6	203.458333	0	0	0	0	0	613	116	678	823	306	603	821	470	0	0	0	453	0	0	0	0	0	0	0	0
Cnpy1	203.083333	577	0	0	0	0	756	244	453	902	97	472	518	362	0	147	346	0	0	0	0	0	0	0	0	0
Acbd5	202.875	0	249	173	0	0	651	126	619	748	165	667	414	381	362	0	134	180	0	0	0	0	0	0	0	0
Zc3h10	202.458333	0	0	0	0	0	965	167	679	1076	119	788	562	352	0	0	0	151	0	0	0	0	0	0	0	0
Rpl41	202.458333	0	0	0	0	0	965	167	679	1076	119	788	562	352	0	0	0	151	0	0	0	0	0	0	0	0
Bmf	202.041667	0	1301	1141	0	0	186	0	0	241	0	133	0	0	1633	0	214	0	0	0	0	0	0	0	0	0
Haspin	201.791667	0	1451	1149	0	0	0	0	0	0	0	0	0	0	2103	0	140	0	0	0	0	0	0	0	0	0
Ttll3	201.375	0	0	0	0	0	0	0	221	394	0	657	1133	1031	0	0	108	1051	238	0	0	0	0	0	0	0
Tnfrsf19	201.083333	0	0	0	0	0	633	200	1088	1227	217	619	461	280	0	0	0	101	0	0	0	0	0	0	0	0
4930503B20Rik	201.083333	0	0	0	0	0	561	124	326	611	170	651	1244	710	0	0	0	429	0	0	0	0	0	0	0	0
Adk	200.708333	0	140	150	0	185	399	120	566	890	103	638	708	343	226	0	193	156	0	0	0	0	0	0	0	0
Sspn	199.875	156	541	583	351	194	191	151	203	252	310	165	196	109	310	352	733	0	0	0	0	0	0	0	0	0
Sod2	199.708333	0	1096	753	0	0	194	0	124	250	0	149	155	127	1826	0	119	0	0	0	0	0	0	0	0	0
Rbpj	199.416667	127	831	722	0	0	401	0	330	518	0	303	294	135	988	0	137	0	0	0	0	0	0	0	0	0
Timm9	198.75	0	485	389	0	0	500	0	418	712	196	465	496	277	321	0	102	409	0	0	0	0	0	0	0	0
2700049A03Rik	198.75	0	485	389	0	0	500	0	418	712	196	465	496	277	321	0	102	409	0	0	0	0	0	0	0	0
Gipc1	198.333333	228	1348	1246	0	0	0	0	0	0	0	0	0	0	1822	0	116	0	0	0	0	0	0	0	0	0
Inafm2	198.208333	108	537	634	0	292	296	0	329	356	0	307	374	174	1004	0	176	0	170	0	0	0	0	0	0	0
Rbfox2	197.916667	0	0	0	0	0	710	191	440	946	0	686	815	522	0	0	202	238	0	0	0	0	0	0	0	0
Arhgef18	197.708333	0	0	0	0	79	1226	296	463	1263	0	768	140	136	0	0	102	0	0	118	154	0	0	0	0	0
Gpr139	197.25	0	0	0	0	0	826	216	693	787	164	642	805	348	0	0	0	253	0	0	0	0	0	0	0	0
Fut10	196.208333	0	1045	1052	0	89	126	0	76	132	0	135	152	0	1902	0	0	0	0	0	0	0	0	0	0	0
Dock10	196.083333	0	0	0	0	0	460	0	528	707	433	682	809	573	0	0	166	348	0	0	0	0	0	0	0	0
Zzef1	195.666667	0	0	0	0	0	611	140	730	972	110	564	929	417	0	0	223	0	0	0	0	0	0	0	0	0
Cyb5d2	195.666667	0	0	0	0	0	611	140	730	972	110	564	929	417	0	0	223	0	0	0	0	0	0	0	0	0
Trp53bp1	194.708333	0	0	0	0	0	757	174	464	715	136	554	835	632	0	0	126	280	0	0	0	0	0	0	0	0
Ppm1l	194.333333	0	1009	760	0	0	180	0	216	247	0	182	406	120	1438	0	106	0	0	0	0	0	0	0	0	0
Bccip	194.291667	191	967	841	0	0	125	0	0	201	0	131	187	0	1266	249	505	0	0	0	0	0	0	0	0	0
Tdrd3	193.5	0	498	452	0	0	422	179	440	731	0	580	238	180	805	0	119	0	0	0	0	0	0	0	0	0
Oser1	193.375	0	0	0	0	0	797	225	660	895	0	716	598	197	0	0	154	399	0	0	0	0	0	0	0	0
Esr1	193.375	273	326	364	0	297	0	0	0	0	0	0	0	0	0	759	408	350	262	453	447	265	437	0	0	0
Kdm2b	193.25	0	0	0	0	666	763	195	859	1288	0	568	132	0	0	0	167	0	0	0	0	0	0	0	0	0
Zfp931	193.041667	0	0	0	0	0	940	151	621	991	0	555	499	348	0	0	0	528	0	0	0	0	0	0	0	0
Tjp3	192.916667	0	1328	1238	0	0	92	0	0	0	0	0	0	0	1750	0	145	0	0	0	0	0	0	0	77	0
Rbm47	192.541667	0	0	0	0	0	674	211	740	987	390	488	425	275	0	106	183	142	0	0	0	0	0	0	0	0
Gm14410	192.083333	0	0	0	0	0	904	113	507	910	0	571	640	443	0	0	0	522	0	0	0	0	0	0	0	0
Myl12b	191.416667	0	741	661	0	0	343	0	470	444	0	437	254	182	852	0	210	0	0	0	0	0	0	0	0	0
Prkar2b	191.291667	0	0	0	0	0	915	388	514	752	135	454	377	447	0	60	204	345	0	0	0	0	0	0	0	0
Septin11	190.375	0	1119	883	0	0	171	0	131	304	0	0	107	114	1593	0	147	0	0	0	0	0	0	0	0	0
Zfp668	190.291667	0	1183	1211	147	0	0	0	0	0	0	0	0	0	1874	0	152	0	0	0	0	0	0	0	0	0
Zfp646	190.291667	0	1183	1211	147	0	0	0	0	0	0	0	0	0	1874	0	152	0	0	0	0	0	0	0	0	0
Tmem30c	188.833333	0	0	0	0	0	340	0	587	744	301	556	882	620	0	0	0	502	0	0	0	0	0	0	0	0
Kdm6b	188.708333	0	1176	1070	0	237	0	0	96	184	0	0	0	0	1766	0	0	0	0	0	0	0	0	0	0	0
Hyal2	188.375	0	1006	862	0	0	333	0	525	330	0	145	0	0	1243	0	77	0	0	0	0	0	0	0	0	0
Zfp524	188.208333	0	120	0	0	301	581	139	565	802	0	469	808	371	0	0	128	149	84	0	0	0	0	0	0	0
Fiz1	188.208333	0	120	0	0	301	581	139	565	802	0	469	808	371	0	0	128	149	84	0	0	0	0	0	0	0
Eml2	188.041667	0	0	0	0	171	822	237	501	922	0	497	436	338	169	0	190	230	0	0	0	0	0	0	0	0
Tdg	187.458333	0	0	0	0	0	1003	96	518	880	0	574	464	367	0	85	317	195	0	0	0	0	0	0	0	0
Tmem125	186.708333	335	464	393	345	0	395	0	0	450	143	204	114	159	0	648	831	0	0	0	0	0	0	0	0	0
Hadh	186.708333	0	0	0	175	0	941	375	503	1043	142	453	497	233	0	0	0	119	0	0	0	0	0	0	0	0
Accsl	186.458333	155	0	0	0	0	1062	376	644	1143	0	388	0	0	0	0	0	0	493	94	120	0	0	0	0	0
Gm5820	186.333333	99	0	0	0	0	0	0	277	723	343	788	1143	611	0	0	65	423	0	0	0	0	0	0	0	0
Cldn3	186.25	0	0	0	0	0	268	119	493	746	217	556	904	413	0	0	0	652	102	0	0	0	0	0	0	0
Ppp1r17	186.125	0	0	0	0	303	171	0	315	674	181	717	908	511	0	0	0	375	312	0	0	0	0	0	0	0
Cacna1c	186.083333	0	0	0	0	0	890	198	530	914	160	571	488	210	0	0	119	386	0	0	0	0	0	0	0	0
Rps12	185.25	0	813	662	0	0	414	0	260	686	0	413	255	0	943	0	0	0	0	0	0	0	0	0	0	0
Dipk1c	184.416667	159	115	278	0	0	488	153	615	731	201	514	528	342	0	0	179	123	0	0	0	0	0	0	0	0
Kat2a	184.333333	0	0	0	0	0	561	0	527	754	267	410	615	611	0	0	111	568	0	0	0	0	0	0	0	0
Hspb9	184.333333	0	0	0	0	0	561	0	527	754	267	410	615	611	0	0	111	568	0	0	0	0	0	0	0	0
Kdm3b	184.0	0	0	0	0	0	720	77	658	1068	166	504	524	288	0	0	246	165	0	0	0	0	0	0	0	0
Fgd4	183.75	0	0	0	0	100	1096	188	443	823	165	431	410	291	0	0	268	195	0	0	0	0	0	0	0	0
Mup4	183.458333	0	0	0	0	0	1255	358	668	1103	0	597	304	118	0	0	0	0	0	0	0	0	0	0	0	0
Cipc	182.916667	0	0	0	0	0	517	138	331	746	0	541	725	807	0	0	0	456	129	0	0	0	0	0	0	0
Ror1	182.833333	0	0	0	0	0	1087	404	707	1179	127	474	113	124	0	58	115	0	0	0	0	0	0	0	0	0
Lrp2bp	181.916667	127	0	0	0	0	1006	296	378	1006	0	553	485	234	0	0	0	149	132	0	0	0	0	0	0	0
Noct	181.291667	0	1010	869	0	0	282	0	0	295	0	261	0	0	1461	0	173	0	0	0	0	0	0	0	0	0
Sh3gl1	181.25	0	0	0	0	0	806	91	511	901	96	712	582	334	0	0	166	151	0	0	0	0	0	0	0	0
Chaf1a	181.25	0	0	0	0	0	806	91	511	901	96	712	582	334	0	0	166	151	0	0	0	0	0	0	0	0
Lrrtm4	180.916667	0	0	0	0	0	363	0	550	777	341	638	514	471	0	0	0	688	0	0	0	0	0	0	0	0
Mest	180.208333	0	0	0	0	0	699	195	387	966	0	726	651	412	0	96	193	0	0	0	0	0	0	0	0	0
Zfyve26	180.166667	0	0	0	0	0	453	148	810	808	174	492	679	427	0	0	0	333	0	0	0	0	0	0	0	0
Rad51b	180.166667	0	0	0	0	0	453	148	810	808	174	492	679	427	0	0	0	333	0	0	0	0	0	0	0	0
Fgf1	179.375	0	0	0	0	0	392	0	659	1036	239	566	838	334	0	0	0	241	0	0	0	0	0	0	0	0
Sema6b	179.333333	0	931	757	0	0	400	0	281	462	0	225	173	101	846	0	128	0	0	0	0	0	0	0	0	0
Lrpprc	179.25	0	1311	1089	0	0	115	0	0	159	0	100	0	0	1432	0	96	0	0	0	0	0	0	0	0	0
Slc9a9	179.041667	0	0	0	0	109	320	107	382	657	0	369	315	191	0	0	155	183	1087	149	0	162	111	0	0	0
Zfp869	178.916667	0	0	0	0	201	410	95	367	742	150	341	877	663	0	0	154	189	105	0	0	0	0	0	0	0
Pxn	178.916667	0	0	0	0	0	545	185	762	908	233	629	390	407	0	0	235	0	0	0	0	0	0	0	0	0
Lef1	178.833333	0	0	0	0	0	401	204	454	634	316	419	890	448	0	0	0	374	152	0	0	0	0	0	0	0
Cdh23	178.75	0	0	0	0	0	140	0	317	401	233	666	989	753	0	0	0	791	0	0	0	0	0	0	0	0
Zfp219	178.5	65	736	647	0	0	232	0	187	273	0	253	254	115	1354	0	168	0	0	0	0	0	0	0	0	0
Celf4	178.458333	0	0	0	0	0	421	117	439	485	162	466	881	560	0	0	179	397	176	0	0	0	0	0	0	0
Zfp984	178.25	0	0	0	0	0	1223	315	502	868	0	663	328	247	0	0	0	132	0	0	0	0	0	0	0	0
Cmc2	178.25	0	1327	1000	0	0	0	0	0	0	0	0	0	0	1951	0	0	0	0	0	0	0	0	0	0	0
Cenpn	178.25	0	1327	1000	0	0	0	0	0	0	0	0	0	0	1951	0	0	0	0	0	0	0	0	0	0	0
Ttc32	178.208333	0	0	0	0	0	795	179	694	1026	121	481	467	213	0	0	102	199	0	0	0	0	0	0	0	0
Atp8a1	178.166667	0	227	89	0	0	482	180	528	778	201	496	442	195	187	0	197	274	0	0	0	0	0	0	0	0
Oga	177.916667	0	1135	1116	0	0	0	0	0	95	0	0	0	0	1786	0	138	0	0	0	0	0	0	0	0	0
Gas2	177.666667	162	0	0	0	0	0	0	352	297	262	280	1058	807	0	0	139	907	0	0	0	0	0	0	0	0
Gm8165	177.625	0	0	0	0	0	1667	393	751	960	0	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taf15	176.791667	0	1374	1201	0	0	0	0	0	0	0	0	109	0	1364	0	195	0	0	0	0	0	0	0	0	0
Ccpg1os	176.708333	0	0	0	0	0	918	247	429	1265	0	703	256	234	0	0	189	0	0	0	0	0	0	0	0	0
Ccpg1	176.708333	0	0	0	0	0	918	247	429	1265	0	703	256	234	0	0	189	0	0	0	0	0	0	0	0	0
St3gal1	176.458333	0	0	0	0	0	148	0	400	515	394	503	749	673	0	0	84	702	0	67	0	0	0	0	0	0
Tex2	176.291667	0	600	630	0	0	599	0	250	503	0	279	331	121	731	0	187	0	0	0	0	0	0	0	0	0
Nfkbil1	176.25	0	359	256	0	0	429	165	466	703	0	493	421	257	566	0	115	0	0	0	0	0	0	0	0	0
Atp6v1g2	176.25	0	359	256	0	0	429	165	466	703	0	493	421	257	566	0	115	0	0	0	0	0	0	0	0	0
Pde4b	175.958333	0	827	752	0	159	440	128	213	349	107	274	195	0	640	0	0	139	0	0	0	0	0	0	0	0
Efna1	175.5	0	0	0	0	206	741	140	614	877	0	569	522	223	196	0	124	0	0	0	0	0	0	0	0	0
Spring1	175.166667	0	1168	1126	0	0	0	0	0	0	0	0	0	0	1786	0	124	0	0	0	0	0	0	0	0	0
Rnft2	175.166667	0	1168	1126	0	0	0	0	0	0	0	0	0	0	1786	0	124	0	0	0	0	0	0	0	0	0
Mnx1	174.916667	0	0	0	0	0	296	0	514	860	209	564	538	413	0	109	192	352	151	0	0	0	0	0	0	0
Bahcc1	174.5	0	221	255	0	399	555	0	433	645	0	489	428	262	128	0	93	280	0	0	0	0	0	0	0	0
Nf1	174.25	0	0	0	0	0	618	144	484	1048	0	464	845	408	0	0	171	0	0	0	0	0	0	0	0	0
Mpp2	174.166667	215	1065	896	0	0	126	0	167	98	0	0	111	0	1502	0	0	0	0	0	0	0	0	0	0	0
Zc3h4	173.75	0	0	0	0	0	838	273	486	920	0	543	376	361	0	0	129	244	0	0	0	0	0	0	0	0
Myt1l	173.375	110	0	0	0	0	449	124	557	548	284	423	626	398	0	0	0	351	291	0	0	0	0	0	0	0
Magi1	173.375	0	971	754	0	0	250	0	109	294	0	0	120	0	1375	0	288	0	0	0	0	0	0	0	0	0
Piwil1	173.166667	0	0	0	0	0	840	286	553	949	110	473	432	296	0	0	88	129	0	0	0	0	0	0	0	0
Epn2	173.125	0	0	0	0	0	0	0	263	382	155	480	1012	526	0	0	227	616	494	0	0	0	0	0	0	0
Btla	173.041667	0	0	0	0	0	1019	301	779	1090	153	449	243	119	0	0	0	0	0	0	0	0	0	0	0	0
Rps19	172.75	0	0	0	0	163	957	422	577	989	0	435	167	94	0	0	224	0	0	118	0	0	0	0	0	0
Ttc23	172.708333	0	0	0	0	0	552	141	501	597	0	345	340	202	0	0	0	141	0	388	404	244	290	0	0	0
Lrrc28	172.708333	0	0	0	0	0	552	141	501	597	0	345	340	202	0	0	0	141	0	388	404	244	290	0	0	0
Tmem132a	172.666667	283	1023	1074	0	0	0	0	0	0	0	0	0	0	1583	0	181	0	0	0	0	0	0	0	0	0
Krt222	171.625	145	0	0	0	0	773	252	643	894	114	791	317	190	0	0	0	0	0	0	0	0	0	0	0	0
Bcas2	171.541667	0	0	0	0	0	161	0	453	563	313	686	842	553	0	0	0	271	275	0	0	0	0	0	0	0
Sbk1	171.25	0	1116	855	0	0	135	0	88	226	0	79	138	0	1281	0	192	0	0	0	0	0	0	0	0	0
Prkci	171.125	0	1086	878	0	156	0	0	104	0	0	0	0	0	1616	63	204	0	0	0	0	0	0	0	0	0
Ccdc88c	171.083333	0	0	0	0	188	616	166	665	637	0	542	508	323	0	0	200	261	0	0	0	0	0	0	0	0
Ankrd50	170.958333	0	0	0	0	939	369	163	341	459	213	379	561	307	0	0	186	186	0	0	0	0	0	0	0	0
Fancf	170.916667	0	0	0	0	0	0	0	352	297	262	280	1058	807	0	0	139	907	0	0	0	0	0	0	0	0
Washc1	170.166667	0	1046	951	0	0	95	0	0	0	0	0	120	0	1770	0	102	0	0	0	0	0	0	0	0	0
Raph1	169.833333	0	0	0	0	0	416	109	465	541	194	529	583	560	0	0	216	463	0	0	0	0	0	0	0	0
Aqr	169.375	0	0	0	0	0	1059	374	795	1198	0	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apbb1	169.25	0	0	0	0	0	269	95	317	392	208	729	707	503	0	0	181	528	133	0	0	0	0	0	0	0
Lrrn2	169.166667	0	0	0	0	0	179	0	339	497	0	456	934	728	0	0	152	775	0	0	0	0	0	0	0	0
Pax6	168.541667	0	0	0	0	112	893	223	371	889	0	636	392	378	0	0	151	0	0	0	0	0	0	0	0	0
Rap2a	168.458333	0	615	569	0	0	240	0	149	338	0	184	553	239	770	0	191	195	0	0	0	0	0	0	0	0
Bambi	168.416667	0	191	212	0	115	369	81	487	681	166	317	626	452	0	0	150	195	0	0	0	0	0	0	0	0
Aadacl2fm1	168.208333	0	420	384	0	384	0	162	0	0	0	0	0	0	0	913	552	557	336	0	0	329	0	0	0	0
Zbtb18	167.958333	0	0	0	0	0	808	201	349	620	0	571	445	407	0	0	122	356	152	0	0	0	0	0	0	0
Sctr	167.583333	0	0	0	0	268	772	199	529	922	0	559	413	225	0	0	0	135	0	0	0	0	0	0	0	0
Foxo3	167.583333	0	1180	842	0	0	0	0	103	0	0	0	169	0	1581	0	147	0	0	0	0	0	0	0	0	0
Gm17026	167.125	0	0	0	0	0	1663	251	834	1008	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phc2	167.0	0	0	0	0	205	168	0	273	431	159	216	635	386	0	80	262	426	410	125	142	90	0	0	0	0
Lima1	166.125	0	129	119	0	0	238	109	356	584	161	828	772	387	0	0	115	189	0	0	0	0	0	0	0	0
Qrfpr	166.083333	223	0	0	0	0	798	196	764	1091	137	600	177	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap33	166.041667	0	0	0	0	0	459	162	683	1201	190	500	379	303	0	0	108	0	0	0	0	0	0	0	0	0
Dennd11	165.75	0	0	0	0	0	305	133	460	869	241	749	577	342	0	0	110	192	0	0	0	0	0	0	0	0
Crybg3	165.5	0	0	0	0	0	353	141	409	640	242	586	556	387	0	0	218	262	178	0	0	0	0	0	0	0
Enc1	165.458333	0	0	0	0	0	309	109	570	758	284	553	552	449	0	0	250	137	0	0	0	0	0	0	0	0
Gnai1	165.416667	0	0	0	0	0	628	197	668	863	0	500	601	193	0	0	189	131	0	0	0	0	0	0	0	0
Zfp979	165.208333	98	0	0	0	0	883	153	684	842	0	700	360	245	0	0	0	0	0	0	0	0	0	0	0	0
Fbxw2	165.208333	0	0	0	0	0	926	214	629	864	0	498	439	312	0	0	83	0	0	0	0	0	0	0	0	0
Tamm41	165.083333	320	0	0	0	0	623	0	501	585	0	496	669	487	0	0	165	116	0	0	0	0	0	0	0	0
Flcn	164.666667	0	1219	941	0	0	0	0	0	0	0	0	0	0	1693	0	99	0	0	0	0	0	0	0	0	0
Map7d1	164.166667	0	1262	1032	0	0	0	0	0	0	0	0	0	0	1483	0	163	0	0	0	0	0	0	0	0	0
Dut	164.0	0	948	949	0	151	0	0	0	0	0	0	0	0	1712	0	176	0	0	0	0	0	0	0	0	0
Arhgef33	163.708333	0	0	0	0	0	439	0	560	637	191	456	686	514	0	0	0	446	0	0	0	0	0	0	0	0
Alpk3	163.666667	162	0	0	0	961	269	109	403	379	0	424	339	118	624	0	140	0	0	0	0	0	0	0	0	0
L3hypdh	163.458333	0	0	0	0	0	250	0	250	565	0	426	834	671	0	0	105	822	0	0	0	0	0	0	0	0
Jkamp	163.458333	0	0	0	0	0	250	0	250	565	0	426	834	671	0	0	105	822	0	0	0	0	0	0	0	0
Atg2a	163.166667	0	312	250	0	105	573	0	344	564	0	406	632	284	181	0	79	186	0	0	0	0	0	0	0	0
Rexo1	163.125	0	371	240	0	0	489	162	281	632	0	322	531	292	323	0	115	157	0	0	0	0	0	0	0	0
Dnajb8	162.916667	0	0	0	0	234	235	0	353	262	290	527	780	654	0	0	0	575	0	0	0	0	0	0	0	0
Zfp987	162.5	0	0	0	0	0	1008	249	704	929	0	625	228	157	0	0	0	0	0	0	0	0	0	0	0	0
Pip5k1c	162.458333	0	1156	998	0	0	0	0	0	0	0	0	0	0	1523	0	145	0	0	0	0	0	0	0	77	0
Csf2ra	162.333333	0	191	261	215	0	357	374	358	400	298	380	244	228	291	0	0	0	142	0	0	0	0	0	157	0
Asah1	162.25	0	1030	927	0	0	0	0	0	0	0	0	0	0	1847	0	90	0	0	0	0	0	0	0	0	0
Atl2	161.875	0	1090	766	0	0	0	0	113	0	0	0	189	0	1541	0	186	0	0	0	0	0	0	0	0	0
Uqcrh	161.5	0	1172	1104	0	0	0	0	0	0	0	0	0	0	1496	0	104	0	0	0	0	0	0	0	0	0
Lrrc41	161.5	0	1172	1104	0	0	0	0	0	0	0	0	0	0	1496	0	104	0	0	0	0	0	0	0	0	0
Uchl3	160.916667	0	1232	856	0	0	0	0	0	0	0	0	0	0	1476	0	198	0	0	0	0	0	0	0	100	0
Errfi1	160.625	0	0	0	0	0	760	0	559	762	170	476	494	261	0	0	228	145	0	0	0	0	0	0	0	0
Riok2	160.375	0	1062	752	0	0	145	0	127	236	0	100	248	86	1093	0	0	0	0	0	0	0	0	0	0	0
Ptgr2	160.333333	0	0	0	0	0	608	129	530	631	177	457	632	295	0	108	102	179	0	0	0	0	0	0	0	0
Zbtb22	160.166667	145	850	855	95	152	0	0	110	0	0	112	0	0	1400	0	125	0	0	0	0	0	0	0	0	0
Ank3	160.041667	0	0	0	0	0	0	0	0	193	0	450	1149	632	0	0	0	745	378	194	100	0	0	0	0	0
Rdm1	159.666667	0	0	120	0	0	560	0	635	622	111	649	544	285	0	0	0	214	0	92	0	0	0	0	0	0
Zfp980	159.458333	0	0	0	0	0	1023	190	860	996	0	587	171	0	0	0	0	0	0	0	0	0	0	0	0	0
Lama2	159.291667	0	0	0	0	0	911	253	814	822	0	540	295	188	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d23	159.25	0	176	154	0	0	604	202	438	922	0	761	261	304	0	0	0	0	0	0	0	0	0	0	0	0
Ntn1	159.166667	0	0	0	0	157	431	124	637	969	460	599	117	197	0	0	129	0	0	0	0	0	0	0	0	0
Smco4	159.041667	106	0	0	0	0	285	0	385	461	163	565	467	554	0	0	205	490	136	0	0	0	0	0	0	0
Nudt9	158.958333	0	845	816	84	0	0	0	0	146	0	127	0	0	1615	0	182	0	0	0	0	0	0	0	0	0
Kdsr	158.916667	0	1276	1102	0	0	0	0	119	113	0	141	155	0	819	0	89	0	0	0	0	0	0	0	0	0
Psip1	158.583333	0	900	763	0	0	147	0	174	0	0	0	210	185	1205	0	222	0	0	0	0	0	0	0	0	0
Ncam1	158.541667	0	833	755	0	0	211	0	0	327	0	195	209	114	926	0	0	235	0	0	0	0	0	0	0	0
Inava	158.333333	0	778	576	0	0	262	0	146	302	0	154	266	0	1316	0	0	0	0	0	0	0	0	0	0	0
Akirin1	158.041667	0	1009	876	0	0	0	0	0	0	0	0	0	0	1788	0	120	0	0	0	0	0	0	0	0	0
Fzd5	157.916667	0	0	0	0	0	1202	270	575	1129	0	498	0	0	0	0	116	0	0	0	0	0	0	0	0	0
Cdh24	157.791667	127	0	0	0	0	360	0	322	545	0	474	889	521	0	0	118	431	0	0	0	0	0	0	0	0
Armc3	157.625	133	0	291	0	0	488	76	433	650	0	500	535	257	0	0	306	114	0	0	0	0	0	0	0	0
Zmiz1	157.583333	0	1108	854	0	0	146	0	158	110	0	0	0	0	1297	0	109	0	0	0	0	0	0	0	0	0
Msi1	157.416667	0	0	0	0	0	329	0	296	783	0	533	790	441	0	0	239	367	0	0	0	0	0	0	0	0
Olfr492	157.375	0	0	0	0	0	492	219	673	897	245	406	464	381	0	0	0	0	0	0	0	0	0	0	0	0
Olfml1	157.333333	0	0	0	0	89	0	0	192	0	421	215	1106	712	0	0	0	1041	0	0	0	0	0	0	0	0
Tnks2	156.916667	0	0	0	0	0	615	0	535	820	139	507	587	374	0	0	189	0	0	0	0	0	0	0	0	0
Shroom4	156.208333	305	0	0	0	0	554	236	384	922	0	268	93	0	0	468	519	0	0	0	0	0	0	0	0	0
Apbb2	156.0	0	310	160	0	0	233	0	477	524	201	310	434	235	541	0	139	180	0	0	0	0	0	0	0	0
Ppp1r13l	155.833333	0	1076	722	0	0	173	0	156	210	0	168	0	0	1235	0	0	0	0	0	0	0	0	0	0	0
Cd3eap	155.833333	0	1076	722	0	0	173	0	156	210	0	168	0	0	1235	0	0	0	0	0	0	0	0	0	0	0
Baz1a	155.416667	0	0	0	0	0	559	90	490	896	88	523	511	323	0	0	128	122	0	0	0	0	0	0	0	0
Tmem176b	155.25	403	1138	1091	117	0	0	0	0	0	0	0	0	0	475	160	342	0	0	0	0	0	0	0	0	0
Tmem176a	155.25	403	1138	1091	117	0	0	0	0	0	0	0	0	0	475	160	342	0	0	0	0	0	0	0	0	0
Ldlr	155.208333	0	0	0	0	0	514	159	352	667	0	612	573	340	120	0	0	388	0	0	0	0	0	0	0	0
Casz1	155.041667	0	1004	932	0	0	0	0	0	0	0	0	117	0	1555	0	113	0	0	0	0	0	0	0	0	0
Ackr1	154.958333	0	0	0	0	107	677	313	508	881	122	580	327	204	0	0	0	0	0	0	0	0	0	0	0	0
Nfkbiz	154.833333	0	815	648	0	0	0	0	0	96	0	0	120	0	1899	0	138	0	0	0	0	0	0	0	0	0
Tmem198b	154.75	0	962	733	0	0	165	0	0	258	0	0	138	0	1281	0	177	0	0	0	0	0	0	0	0	0
Mlx	154.75	0	641	544	0	115	275	0	270	393	0	167	252	153	904	0	0	0	0	0	0	0	0	0	0	0
Dnajc14	154.75	0	962	733	0	0	165	0	0	258	0	0	138	0	1281	0	177	0	0	0	0	0	0	0	0	0
Coasy	154.75	0	641	544	0	115	275	0	270	393	0	167	252	153	904	0	0	0	0	0	0	0	0	0	0	0
Sgms1	154.5	0	812	695	0	0	172	0	116	267	0	71	111	0	1302	0	162	0	0	0	0	0	0	0	0	0
Ly6g6f	154.458333	0	1197	1041	0	0	0	0	0	0	0	0	0	0	1354	0	115	0	0	0	0	0	0	0	0	0
Abhd16a	154.458333	0	1197	1041	0	0	0	0	0	0	0	0	0	0	1354	0	115	0	0	0	0	0	0	0	0	0
Tapbp	154.125	0	850	855	95	152	0	0	110	0	0	112	0	0	1400	0	125	0	0	0	0	0	0	0	0	0
Riok3	154.041667	0	0	0	0	139	434	0	663	797	0	546	571	270	0	0	0	277	0	0	0	0	0	0	0	0
